W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
2,5,Daishomaru,Oitekaze,Osaka,10.07.1991,2014.03,Nihon University,174 cm 153 kg,M5,M5,341-371-1/712,Ms12e,2,5,Ms42e,6,1,Ms25,Hokutenkai,Onoe,Mongolia,02.02.1999,2019.05,NA,180 cm 126 kg,Ms5,Ms5,84-56-14/140,Ms39e,5,2,3,4,Ms34e,4,3
7,0,Ryuo,Nishonoseki,Akita,16.11.1993,2012.01,NA,184 cm 131 kg,Ms16,Ms3,239-216-15/452,Ms30w,4,3,Ms3e,1,7,Ms26,Hatooka,Kise,Kanagawa,23.02.1994,2016.03,Takushoku University,185 cm 159 kg,Ms14,Ms14,145-74-75/218,Ms55w,6,1,3,4,Ms37e,3,4
1,6,Akitoba,Minato,Aichi,02.08.1999,2015.03,NA,174 cm 121 kg,Ms27,Ms27,165-143-28/308,Ms33w,4,3,Sd1e,3,4,Ms27,Kayo,Nishonoseki,Okinawa,14.07.1999,2022.05,Nippon Sport Science University,169 cm 146 kg,Ms18,Ms18,32-17/49,Ms18w,3,4,5,2,Ms19e,2,5
3,4,Kotodaigo,Sadogatake,Oita,14.01.1993,2011.05,NA,188 cm 135 kg,Ms1,Ms1,257-192-48/448,Ms19e,3,4,Ms37w,3,4,Ms28,Fujinoyama (Suzuki),Fujishima,Shizuoka,26.07.2000,2019.01,NA,181 cm 136 kg,Ms11,Ms11,99-76/175,Ms43e,5,2,4,3,Ms23w,5,2
5,2,Narutaki,Isenoumi,Kyoto,13.11.1998,2016.11,NA,176 cm 125 kg,Ms18,Ms18,143-113-10/254,Ms22e,3,4,Ms21w,3,4,Ms29,Oshoumi,Naruto,Ishikawa,12.05.2001,2020.03,NA,184 cm 127 kg,Ms7,Ms7,73-25-28/95,Ms45w,5,2,5,2,Ms22e,4,3
3,4,Osanai,Takasago,Aomori,01.03.1999,2021.03,Kinki University,174 cm 122 kg,Ms10,Ms10,55-36/91,Ms38e,4,3,Ms39e,4,3,Ms30,Akinoyama,Takadagawa,Hiroshima,30.11.1992,2008.03,NA,178 cm 205 kg,Ms13,Ms13,323-295-5/617,Ms48w,5,2,2,5,Ms45w,4,3
3,4,Fujiazuma,Tamanoi,Tokyo,19.04.1987,2003.03,NA,181 cm 165 kg,M4,M4,550-556-31/1105,Ms40e,4,3,Ms40w,1,6,Ms31,Nihonyanagi,Onomatsu,Tokyo,31.05.2000,2019.11,NA,177 cm 155 kg,Ms23,Ms23,78-57-5/135,Ms24w,3,4,1,6,Sd4w,5,2
3,4,Kazuto,Tatsunami,Kanagawa,13.12.2003,2022.05,NA,175 cm 116 kg,Ms32,Ms32,31-11/42,Ms41w,4,3,Ms43w,5,2,Ms32,Asagyokusei,Takasago,Mie,29.05.1993,2016.01,Kinki University,180 cm 138 kg,J12,J12,174-153/327,Ms52e,5,2,2,5,Ms46w,5,2
4,3,Tosamidori,Onomatsu,Kochi,11.05.1996,2015.07,NA,181 cm 147 kg,Ms11,Ms11,138-83-73/221,Ms42w,4,3,Ms27e,1,6,Ms33,Takahashi,Nishonoseki,Fukushima,25.05.1999,2022.05,Nippon Sport Science University,184 cm 143 kg,Ms33,Ms13,36-6/42,Ms54w,5,2,6,1,Ms13e,6,1
4,3,Kitaharima,Yamahibiki,Hyogo,28.07.1986,2002.03,NA,182 cm 126 kg,M15,M15,539-537-7/1076,Ms45e,4,3,Ms28e,2,5,Ms34,Hokaho,Miyagino,Saitama,21.06.1989,2007.03,NA,184 cm 152 kg,Ms3,Ms3,347-305-14/652,Ms27e,3,4,4,3,Ms28w,5,2
3,4,Dainichido,Michinoku,Tochigi,19.02.1993,2015.01,NA,178 cm 130 kg,Ms35,Ms35,173-170/343,Ms56e,5,2,Ms45e,3,4,Ms35,Omoto,Ikazuchi,Okayama,23.11.1992,2015.01,Ritsumeikan University,178 cm 158 kg,Ms13,Ms13,181-131-31/311,Ms27w,3,4,2,5,Ms53e,6,1
5,2,Tsurubayashi,Kise,Kumamoto,31.12.1993,2009.03,NA,180 cm 138 kg,Ms6,Ms6,311-269-1/579,Ms47e,4,3,Ms24w,5,2,Ms36,Tanakayama,Sakaigawa,Niigata,24.01.2002,2018.05,NA,183 cm 122 kg,Ms36,Ms30,111-92/203,Ms60w,5,2,4,3,Ms30e,2,5
4,3,Chiyooga,Kokonoe,Osaka,19.01.2000,2018.03,NA,173 cm 121 kg,Ms27,Ms27,109-89-12/197,Ms47w,4,3,Ms31w,3,3,Ms37,Wakanosho,Tokiwayama,Tochigi,22.08.2003,2022.01,NA,178 cm 126 kg,Ms37,Ms25,39-17/56,Sd13e,6,1,5,2,Ms25w,3,4
3,4,Kotoryusei,Sadogatake,Saga,29.06.1996,2012.03,NA,168 cm 120 kg,Ms38,Ms38,219-197-25/413,Ms48e,4,3,Ms48e,3,4,Ms38,Hayanami (Wayama),Musashigawa,Iwate,19.12.1997,2016.01,NA,188 cm 125 kg,Ms32,Ms32,155-144-2/299,Sd14w,6,1,1,6,Sd11w,4,3
0,7,Tomiyutaka,Tokitsukaze,Toyama,08.07.2000,2019.03,NA,179 cm 136 kg,Ms39,Ms39,86-75-7/160,Sd3e,5,2,Sd17w,3,4,Ms39,Chiyonokatsu,Kokonoe,Okinawa,13.04.1994,2013.03,NA,177 cm 129 kg,Ms20,Ms20,208-181-31/388,Ms20w,2,5,4,3,Ms33e,3,4
5,2,Asakoki,Takasago,Hyogo,19.12.1990,2009.03,NA,187 cm 129 kg,Ms11,Ms11,289-279-13/568,Ms50w,4,3,Ms27w,4,3,Ms40,Fukai,Takasago,Ishikawa,10.09.1997,2020.03,Toyo University,181 cm 134 kg,Ms4,Ms4,76-56-1/131,Ms21w,2,5,6,1,Ms17e,4,3
4,3,Chiyotora,Kokonoe,Saga,15.04.2003,2019.05,NA,176 cm 128 kg,Ms14,Ms14,88-66-7/154,Ms14e,1,6,Ms35e,3,4,Ms41,Hoshuzan,Naruto,Chiba,09.08.1997,2020.07,Nippon Sport Science University,174 cm 166 kg,Ms35,Ms35,68-48-3/116,Sd5e,5,2,3,4,Ms49w,5,2
2,5,Hanafusa,Nishonoseki,Tokyo,15.04.2003,2022.01,NA,174 cm 123 kg,Ms42,Ms42,38-18/56,Sd19e,6,1,Sd4e,5,2,Ms42,Toshoyama,Tamanoi,Chiba,07.01.1998,2013.03,NA,181 cm 153 kg,Ms42,Ms36,204-208-8/411,Sd6w,5,2,4,3,Ms36e,2,5
3,4,Nionoumi,Yamahibiki,Shiga,16.12.1986,2002.03,NA,171 cm 153 kg,M16,M16,492-473-14/965,Ms52w,4,3,Ms57w,3,4,Ms43,Kairyu,Dewanoumi,Wakayama,01.03.1990,2005.03,NA,178 cm 147 kg,Ms2,Ms2,390-350-10/739,Ms29e,3,4,5,2,Ms30w,4,3
3,4,Okinohama,Hakkaku,Shimane,25.06.1997,2013.03,NA,181 cm 158 kg,Ms31,Ms31,215-187-18/401,Ms53w,4,3,Ms58e,5,2,Ms44,Kotodairyu,Sadogatake,Fukuoka,15.08.1993,2009.03,NA,177 cm 114 kg,Ms20,Ms20,296-284-1/579,Ms31w,3,4,3,4,Ms58w,4,3
4,3,Asanowaka,Takasago,Niigata,22.06.1995,2018.03,Toyo University,183 cm 126 kg,J4,J4,121-91-25/211,Ms34w,3,4,Ms38e,3,4,Ms45,Onojo,Takadagawa,Fukuoka,31.01.1996,2011.05,NA,182 cm 143 kg,Ms23,Ms23,254-230-13/484,Ms36e,3,4,3,4,Ms59e,5,2
3,4,Nobehara,Futagoyama,Osaka,09.06.2002,2021.05,NA,179 cm 137 kg,Ms24,Ms24,51-28-5/78,Ms37w,3,4,Sd2w,4,3,Ms46,Hokutomaru,Hakkaku,Mongolia,09.01.2000,2018.09,NA,189 cm 118 kg,Ms26,Ms26,103-79/182,Ms26e,2,5,5,2,Ms33w,3,4
4,3,Toseiryu,Tamanoi,Fukuoka,05.07.1999,2022.01,Kyushu Institute of Information Sciences,184 cm 134 kg,Ms47,Ms40,37-18-1/54,Ms58e,4,3,Ms40e,4,3,Ms47,Okinofuji,Hakkaku,Shimane,26.01.1988,2006.03,NA,180 cm 172 kg,Ms11,Ms11,363-344/707,Sd12e,5,2,2,5,Sd8w,2,5
2,5,Asabenkei,Takasago,Kanagawa,12.02.1989,2007.03,NA,190 cm 183 kg,J7,J7,368-340-21/704,Sd31e,6,1,Sd9w,4,3,Ms48,Kototsubasa,Sadogatake,Aichi,23.02.1992,2007.03,NA,177 cm 123 kg,Ms13,Ms13,329-333-3/660,Ms31e,2,5,4,3,Ms41w,4,3
3,4,Chiyoraizan,Kokonoe,Wakayama,21.06.1987,2006.03,NA,191 cm 151 kg,Ms34,Ms34,343-325-39/665,Ms60e,4,3,Sd3w,2,5,Ms49,Asonoyama,Sakaigawa,Kumamoto,09.11.1999,2018.01,NA,175 cm 152 kg,Ms14,Ms14,116-83-18/198,Ms14w,0,5,4,3,Ms42w,4,3
6,1,Kaizen,Asakayama,Kagoshima,29.07.1993,2016.01,NA,177 cm 136 kg,Ms31,Ms21,153-127-21/279,Sd74w,7,0,Ms21e,3,4,Ms50,Fujinowaka,Fujishima,Tokyo,27.09.1994,2010.05,NA,176 cm 139 kg,Ms50,Ms50,260-265-7/525,Sd1w,4,3,1,6,Sd27e,3,4
3,4,Kotokenryu,Sadogatake,Mongolia,19.01.2004,2021.11,NA,182 cm 133 kg,Ms51,Ms51,38-17-1/54,Sd35w,6,1,Sd6e,5,2,Ms51,Ryusei,Isenoumi,Tokyo,17.07.1986,2003.03,NA,183 cm 145 kg,Ms4,Ms4,423-404-7/825,Ms42e,3,4,5,2,Ms36w,5,2
4,3,Tendozan (Shinohara),Fujishima,Shizuoka,01.12.2001,2020.01,NA,179 cm 146 kg,Ms29,Ms29,74-45-14/119,Sd37w,6,1,Ms44w,4,3,Ms52,Chiyodaigo,Kokonoe,Hyogo,28.02.1998,2016.07,NA,186 cm 134 kg,Ms34,Ms34,133-83-64/214,Sd17w,5,2,2,2,Sd17e,0,0
3,4,Dewataikai,Dewanoumi,Okinawa,12.11.1996,2012.03,NA,183 cm 121 kg,Ms29,Ms29,211-191-46/399,Ms43w,3,4,Sd6w,3,4,Ms53,Shuji,Kise,Nara,24.10.1995,2014.03,NA,176 cm 133 kg,Ms34,Ms34,174-143-61/315,Sd4w,4,3,2,5,Sd19e,3,4
4,3,Ohata,Tokitsukaze,Miyagi,24.10.1996,2014.11,NA,186 cm 145 kg,Ms31,Ms31,179-171/350,Ms44e,3,4,Ms46e,2,5,Ms54,Hamayutaka,Tokitsukaze,Kanagawa,17.11.1995,2011.05,NA,182 cm 149 kg,Ms8,Ms8,251-246/496,Ms19w,0,7,2,5,Sd19w,3,4
3,4,Sadanohikari,Sakaigawa,Mongolia,31.12.1995,2014.03,NA,188 cm 131 kg,Ms29,Ms29,183-168-20/350,Ms44w,3,4,Sd8e,3,4,Ms55,Dewanojo,Dewanoumi,Tochigi,14.12.1993,2012.03,NA,190 cm 258 kg,Ms44,Ms44,224-222-16/442,Sd6e,4,3,4,3,Ms47w,1,6
5,2,Ienoshima,Yamahibiki,Hyogo,22.08.2003,2019.03,NA,176 cm 142 kg,Ms56,Ms39,86-72-10/158,Sd20e,5,2,Ms39w,1,3,Ms56,Oki,Shikoroyama,Niigata,12.06.1996,2013.07,NA,185 cm 158 kg,J13,J13,209-186-20/395,Ms16e,0,1,0,0,Sd36w,0,0
4,3,Otani,Miyagino,Okinawa,25.12.1999,2022.07,Nihon University,184 cm 188 kg,Ms57,Ms49,28-7/35,Sd44w,6,1,Ms49e,5,2,Ms57,Hokutoryu,Hakkaku,Hokkaido,03.01.1998,2016.03,NA,181 cm 126 kg,Ms48,Ms48,146-129-19/272,Sd8w,4,3,2,5,Sd22e,3,1
3,4,Daishoryu (Moji),Yamahibiki,Hyogo,03.11.2002,2021.03,NA,175 cm 107 kg,Ms42,Ms42,56-35/91,Sd9e,4,3,Sd14e,6,1,Ms58,Sasakiyama,Kise,Akita,12.06.1991,2010.01,NA,183 cm 130 kg,Ms13,Ms13,279-238-29/516,Ms34e,2,5,2,5,Sd24w,4,3
5,2,Raiho,Miyagino,Shizuoka,21.05.1997,2021.07,Nippon Sport Science University,172 cm 90 kg,Ms55,Ms43,45-25-7/70,Sd9w,4,3,Ms43e,3,4,Ms59,Kainoshima,Fujishima,Kagoshima,23.03.1995,2017.03,Senshu University,174 cm 106 kg,Ms9,Ms9,134-113-5/247,Ms35w,2,5,4,3,Ms50w,3,4
5,2,Seigo,Shikoroyama,Osaka,25.12.1998,2017.03,NA,176 cm 157 kg,Ms32,Ms32,131-97-24/227,Sd23w,5,2,Ms44e,2,5,Ms60,Onokura,Miyagino,Fukuoka,09.06.1998,2014.03,NA,170 cm 167 kg,Ms48,Ms48,183-180-15/363,Sd11w,4,3,3,4,Sd15e,2,5
1,6,Kototakuya,Sadogatake,Akita,01.10.2002,2018.03,NA,177 cm 107 kg,Ms58,Ms58,107-102-1/208,Sd26e,5,2,Sd38w,4,3,Sd1,Maikeru,Futagoyama,Fukui,15.07.1998,2017.09,NA,177 cm 136 kg,Ms29,Ms29,124-107/231,Ms46w,3,4,4,3,Ms52e,3,4
3,4,Taiyo,Onoe,Kumamoto,18.05.2001,2020.01,NA,167 cm 106 kg,Ms44,Ms44,65-48-20/112,Sd13w,4,3,Sd21e,4,3,Sd2,Naya,Otake,Tokyo,10.01.1998,2020.03,Chuo University,185 cm 150 kg,Ms40,Ms40,71-55/126,Sd14e,4,3,2,5,Sd32e,5,2
2,5,Wakamiyabi,Futagoyama,Kanagawa,20.06.2003,2022.03,NA,183 cm 149 kg,Sd3,Sd3,31-18/49,Sd30e,5,2,Sd33w,4,3,Sd3,Yuki,Michinoku,Miyazaki,07.09.1989,2005.03,NA,183 cm 139 kg,Ms20,Ms20,363-380-6/742,Ms49e,3,4,4,3,Ms54e,2,5
6,1,Oyamatoumi,Yamahibiki,Saitama,25.06.1999,2015.03,NA,179 cm 124 kg,Ms28,Ms28,174-155-7/328,Ms39w,2,5,Ms31e,4,3,Sd4,Kotohaguro,Sadogatake,Yamagata,17.01.2003,2018.03,NA,183 cm 127 kg,Ms25,Ms25,110-99-1/207,Ms32e,1,6,3,4,Sd21w,5,2
4,3,Denuma,Futagoyama,Kanagawa,07.02.2001,2019.03,NA,176 cm 153 kg,Ms55,Ms55,91-73-4/164,Sd17e,4,3,Ms55w,2,5,Sd5,Daikisho,Oitekaze,Kagawa,18.08.2000,2019.01,NA,182 cm 145 kg,Ms24,Ms24,96-79/174,Ms50e,3,4,4,3,Ms56w,4,3
3,4,Awanokuni,Takadagawa,Chiba,18.05.2000,2019.01,NA,178 cm 161 kg,Ms41,Ms41,95-80/175,Ms41e,2,5,Sd25e,4,3,Sd6,Oginohama (Aomihama),Dewanoumi,Kanagawa,27.10.1994,2010.03,NA,180 cm 148 kg,Ms25,Ms25,265-233-41/497,Ms53e,3,4,6,1,Ms32e,2,5
3,4,Tokinohira (Tsushida),Tokitsukaze,Iwate,08.04.1999,2018.05,NA,180 cm 136 kg,Ms32,Ms32,109-94/203,Ms54e,3,4,Sd28e,2,5,Sd7,Wakazakura (Kawamoto),Kasugano,Kyoto,04.04.1995,2018.03,Takushoku University,181 cm 140 kg,Ms23,Ms23,109-94-7/203,Ms46e,2,5,2,5,Sd36e,3,4
5,2,Obara (Kaiyudai),Asakayama,Kanagawa,06.07.1999,2015.03,NA,190 cm 156 kg,Ms32,Ms32,175-139-22/312,Sd22w,4,1,Ms50e,6,1,Sd8,Fujitoshi,Fujishima,Saitama,23.11.1998,2021.03,Takushoku University,168 cm 118 kg,Ms19,Ms19,54-29-8/82,Ms28w,0,0,5,2,Ms51e,2,4
2,5,Harunishiki,Asahiyama,Ibaraki,17.07.2000,2017.09,NA,179 cm 106 kg,Sd9,Sd9,114-116-1/230,Sd23e,4,3,Sd38e,3,4,Sd9,Shohoryu,Tokitsukaze,Akita,12.10.1996,2014.09,NA,172 cm 139 kg,Ms3,Ms3,187-162-8/348,Ms37e,1,6,3,4,Sd28w,0,0
3,4,Kotonofuji,Sadogatake,Yamagata,24.01.2002,2017.03,NA,178 cm 125 kg,Sd9,Sd9,131-120-1/250,Sd34w,5,2,Sd29w,4,3,Sd10,Anzai,Naruto,Tokyo,06.08.2002,2018.03,NA,176 cm 123 kg,Ms36,Ms36,108-77-25/184,Sd25e,4,3,4,3,Ms59w,6,1
5,2,Daihisho,Oitekaze,Ehime,08.11.2003,2019.03,NA,180 cm 141 kg,Ms49,Ms49,94-74/167,Ms58w,3,4,Ms52w,4,3,Sd11,Taiga,Arashio,Fukushima,13.01.2003,2018.03,NA,185 cm 109 kg,Ms45,Ms45,102-86-22/188,Ms59e,3,4,4,3,Ms60w,3,4
3,4,Kirinryu (Takeoka),Nishonoseki,Tokyo,21.12.2001,2020.01,NA,173 cm 105 kg,Ms49,Ms49,70-63/133,Sd27e,4,3,Sd31w,2,5,Sd12,Tosashimizu (Toyoshimizu),Tokitsukaze,Kochi,25.02.1997,2015.05,NA,171 cm 182 kg,Sd3,Sd3,159-165-5/321,Sd67e,6,1,1,6,Sd50w,4,3
4,3,Keitenkai,Onomatsu,Kagoshima,10.03.1990,2008.01,NA,176 cm 112 kg,J11,J11,323-237-78/559,Sd29e,4,3,Sd2e,3,4,Sd13,Mochizuki,Otake,Yamanashi,08.03.1996,2016.07,NA,175 cm 100 kg,Ms56,Ms56,139-134-7/272,Sd29w,4,3,3,4,Sd35e,0,0
2,5,Oka,Minato,Saitama,03.03.1993,2011.05,NA,189 cm 151 kg,Sd4,Sd4,246-251/497,Sd38w,5,2,Sd41e,3,4,Sd14,Kiyota,Dewanoumi,Fukushima,04.08.2003,2019.03,NA,177 cm 107 kg,Sd14,Ms53,88-65-15/152,Sd39e,5,2,5,2,Ms53w,2,5
5,2,Kumanoryu,Takekuma,Fukuoka,18.03.2003,2021.03,NA,175 cm 117 kg,Ms51,Ms51,53-38/91,Ms51e,2,5,Ms55e,3,4,Sd15,Kaiseijo,Asakayama,Aichi,02.07.1998,2014.03,NA,179 cm 108 kg,Ms31,Ms31,193-184-1/377,Ms51w,2,5,5,2,Ms56e,4,3
4,3,Wakakinsho,Hanaregoma,Hokkaido,26.12.1996,2013.07,NA,178 cm 138 kg,Sd16,Sd5,196-183-27/374,Sd33w,4,3,Sd5e,2,5,Sd16,Kinotsukasa,Ikazuchi,Shizuoka,19.01.2000,2018.03,NA,173 cm 121 kg,Sd11,Sd5,106-82-22/188,Sd44e,5,2,4,3,Sd5w,3,4
5,2,Kyoda,Futagoyama,Kanagawa,04.02.2003,2020.11,NA,175 cm 127 kg,Sd6,Ms57,59-46/105,Sd34e,4,3,Ms57e,4,3,Sd17,Katsunofuji,Sakaigawa,Aomori,04.05.1984,2003.01,NA,181 cm 142 kg,Ms15,Ms15,421-373-46/793,Sd73w,6,1,3,4,Sd35w,3,4
3,4,Chiyotaiho,Kokonoe,Yamaguchi,01.08.2001,2017.03,NA,173 cm 146 kg,Ms52,Ms52,121-104-27/225,Sd2e,3,4,Sd37w,6,1,Sd18,Kirinofuji,Michinoku,Kagoshima,28.07.1994,2011.01,NA,186 cm 140 kg,Ms18,Ms18,245-238-14/481,Ms38w,0,1,0,0,Sd78w,0,0
2,5,Kawabuchi,Shikoroyama,Osaka,21.10.2000,2019.03,NA,176 cm 118 kg,Ms52,Ms52,89-79/168,Sd2w,3,4,Sd48w,5,2,Sd19,Takerufuji,Isegahama,Aomori,09.04.1999,2022.09,Nihon University,183 cm 141 kg,Sd19,Ms41,26-2/28,Jd11e,7,0,6,1,Ms41e,6,1
3,4,Kaishin,Tagonoura,Aomori,25.09.2001,2017.03,NA,183 cm 149 kg,Ms42,Ms42,114-111-27/225,Ms55e,2,5,Sd39e,1,0,Sd20,Hinataryu,Musashigawa,Miyazaki,23.05.1999,2018.01,NA,177 cm 111 kg,Ms46,Ms46,115-100-2/214,Ms56w,2,5,4,3,Sd7e,4,3
1,6,Oba,Otake,Niigata,25.04.2000,2019.03,NA,174 cm 135 kg,Sd4,Sd4,88-80/168,Sd47e,5,2,Sd58w,4,3,Sd21,Shunrai,Tatsunami,Chiba,10.04.2005,2021.05,NA,177 cm 119 kg,Sd21,Sd21,47-37/84,Sd39w,4,3,2,5,Sd54w,4,3
3,4,Hamanoumi,Tokitsukaze,Kanagawa,10.12.2001,2017.03,NA,183 cm 142 kg,Sd3,Sd3,115-137/252,Sd3w,3,4,Sd40w,4,3,Sd22,Akiyoshi,Onomatsu,Iwate,03.09.2001,2020.07,NA,177 cm 163 kg,Ms56,Ms56,69-50/119,Sd4e,3,4,4,3,Sd9e,4,3
2,5,Dairaido,Takadagawa,Fukuoka,17.04.1980,1996.03,NA,174 cm 147 kg,J2,J2,594-556-25/1150,Sd52e,5,2,Sd55e,3,4,Sd23,Nishikikuni,Shibatayama,Yamaguchi,25.05.2000,2019.03,NA,179 cm 146 kg,Ms57,Ms57,87-74-7/160,Ms57e,2,5,4,3,Sd10w,2,5
5,2,Wakenosato (Sakaekaze),Nishonoseki,Okayama,28.09.1993,2016.05,NA,181 cm 159 kg,Ms24,Ms24,150-137/287,Ms59w,2,5,Ms60e,1,6,Sd24,Toshunryu,Tamanoi,Tokyo,16.04.1999,2022.05,Nippon Sport Science University,172 cm 95 kg,Sd24,Ms15,30-9-3/38,Sd41w,4,1,7,0,Ms15w,3,4
3,4,Murayama,Naruto,Chiba,06.06.2002,2021.01,NA,168 cm 123 kg,Sd16,Sd16,55-40-3/94,Sd42e,4,3,Sd41w,4,3,Sd25,Sazanami,Isenoumi,Iwate,31.01.2000,2015.03,NA,182 cm 119 kg,Ms48,Ms48,176-160/335,Sd54e,5,2,3,4,Sd42e,7,0
