Team,W,L,win_loss_pctg
Texas (Big 12),28,1,0.966
San Diego (WCC),31,2,0.939
Towson (CAA),29,2,0.935
UCF (AAC),28,2,0.933
Louisville (ACC),31,3,0.912
Pittsburgh (ACC),31,4,0.886
Yale (Ivy League),23,3,0.885
Houston (AAC),30,4,0.882
Marquette (Big East),29,4,0.879
South Dakota (Summit League),29,4,0.879
Western Ky. (C-USA),29,4,0.879
Wisconsin (Big Ten),28,4,0.875
Wright St. (Horizon),28,4,0.875
Rice (C-USA),27,4,0.871
Creighton (Big East),27,5,0.844
Stanford (Pac-12),27,5,0.844
Princeton (Ivy League),21,4,0.84
SFA (WAC),26,5,0.839
UNLV (Mountain West),26,5,0.839
James Madison (Sun Belt),24,5,0.828
Nebraska (Big Ten),26,6,0.812
Oregon (Pac-12),26,6,0.812
Florida (SEC),25,6,0.806
Colgate (Patriot),24,6,0.8
Jacksonville St. (ASUN),24,6,0.8
UTRGV (WAC),27,7,0.794
Drake (MVC),30,8,0.789
FGCU (ASUN),26,7,0.788
Baylor (Big 12),25,7,0.781
Fairfield (MAAC),25,7,0.781
Delaware St. (MEAC),24,7,0.774
Texas St. (Sun Belt),24,7,0.774
UNI (MVC),27,8,0.771
Penn St. (Big Ten),26,8,0.765
BYU (WCC),22,7,0.759
Hawaii (Big West),22,7,0.759
Southeastern La. (Southland),25,8,0.758
Georgia (SEC),23,8,0.742
Loyola Chicago (Atlantic 10),25,9,0.735
Kentucky (SEC),22,8,0.733
Ball St. (MAC),24,9,0.727
ETSU (SoCon),21,8,0.724
Georgia Tech (ACC),21,8,0.724
Liberty (ASUN),23,9,0.719
Auburn (SEC),22,9,0.71
Minnesota (Big Ten),22,9,0.71
Northern Colo. (Big Sky),22,9,0.71
Arkansas (SEC),21,9,0.7
San Jose St. (Mountain West),21,9,0.7
High Point (Big South),23,10,0.697
Washington St. (Pac-12),23,10,0.697
Bowling Green (MAC),22,10,0.688
Ohio St. (Big Ten),22,10,0.688
SMU (AAC),22,10,0.688
UIC (MVC),22,10,0.688
Long Beach St. (Big West),19,9,0.679
Sacred Heart (NEC),21,10,0.677
Coppin St. (MEAC),23,11,0.676
Davidson (Atlantic 10),23,11,0.676
Green Bay (Horizon),23,11,0.676
Houston Christian (Southland),23,11,0.676
Southern California (Pac-12),22,11,0.667
Utah St. (Mountain West),22,11,0.667
Valparaiso (MVC),22,11,0.667
Howard (MEAC),20,10,0.667
UC Irvine (Big West),20,10,0.667
UC Santa Barbara (Big West),20,10,0.667
Army West Point (Patriot),18,9,0.667
UT Martin (OVC),23,12,0.657
Purdue (Big Ten),21,11,0.656
New Hampshire (America East),19,10,0.655
Binghamton (America East),17,9,0.654
UMBC (America East),17,9,0.654
Boston College (ACC),24,13,0.649
Colorado (Pac-12),20,11,0.645
Omaha (Summit League),20,11,0.645
Washington (Pac-12),20,11,0.645
App State (Sun Belt),18,10,0.643
Kennesaw St. (ASUN),18,10,0.643
LMU (CA) (WCC),18,10,0.643
Dartmouth (Ivy League),16,9,0.64
North Dakota St. (Summit League),21,12,0.636
Southern Miss. (Sun Belt),21,12,0.636
Xavier (Big East),21,12,0.636
Campbell (Big South),19,11,0.633
Central Ark. (ASUN),19,11,0.633
Colorado St. (Mountain West),19,11,0.633
Florida St. (ACC),19,11,0.633
Kansas (Big 12),19,11,0.633
Miami (FL) (ACC),19,11,0.633
Pepperdine (WCC),19,11,0.633
UT Arlington (WAC),17,10,0.63
Central Mich. (MAC),20,12,0.625
Iowa St. (Big 12),20,12,0.625
Ohio (MAC),20,12,0.625
Grand Canyon (WAC),18,11,0.621
Marist (MAAC),18,11,0.621
Utah Valley (WAC),18,11,0.621
Florida A&M (SWAC),21,13,0.618
Bryant (America East),19,12,0.613
Denver (Summit League),19,12,0.613
Delaware (CAA),17,11,0.607
NIU (MAC),17,11,0.607
TCU (Big 12),17,11,0.607
Western Caro. (SoCon),20,13,0.606
Brown (Ivy League),15,10,0.6
Northwestern St. (Southland),19,13,0.594
Samford (SoCon),19,13,0.594
Toledo (MAC),19,13,0.594
Dayton (Atlantic 10),20,14,0.588
St. John's (NY) (Big East),20,14,0.588
Hofstra (CAA),17,12,0.586
Iona (MAAC),17,12,0.586
Montana (Big Sky),17,12,0.586
New Mexico (Mountain West),17,12,0.586
North Carolina (ACC),17,12,0.586
Weber St. (Big Sky),17,12,0.586
Northern Ky. (Horizon),18,13,0.581
Portland St. (Big Sky),18,13,0.581
Saint Louis (Atlantic 10),18,13,0.581
South Alabama (Sun Belt),18,13,0.581
Southern Ill. (MVC),18,13,0.581
Troy (Sun Belt),18,13,0.581
Wichita St. (AAC),18,13,0.581
Bucknell (Patriot),15,11,0.577
Buffalo (MAC),19,14,0.576
Alabama St. (SWAC),20,15,0.571
Ga. Southern (Sun Belt),16,12,0.571
Navy (Patriot),16,12,0.571
New Mexico St. (WAC),16,12,0.571
Winthrop (Big South),16,12,0.571
Cal Poly (Big West),17,13,0.567
Coastal Carolina (Sun Belt),17,13,0.567
Michigan (Big Ten),17,13,0.567
UTEP (C-USA),17,13,0.567
Western Mich. (MAC),17,13,0.567
Northwestern (Big Ten),18,14,0.562
Pacific (WCC),18,14,0.562
Grambling (SWAC),15,12,0.556
Duke (ACC),16,13,0.552
Lipscomb (ASUN),16,13,0.552
NC State (ACC),16,13,0.552
Texas Tech (Big 12),16,13,0.552
UCLA (Pac-12),16,13,0.552
Wofford (SoCon),16,13,0.552
Tennessee (SEC),17,14,0.548
Tennessee Tech (OVC),17,14,0.548
UConn (Big East),17,14,0.548
Wake Forest (ACC),17,14,0.548
George Washington (Atlantic 10),18,15,0.545
Memphis (AAC),18,15,0.545
South Dakota St. (Summit League),18,15,0.545
Tennessee St. (OVC),19,16,0.543
Louisiana (Sun Belt),15,13,0.536
Mississippi St. (SEC),15,13,0.536
Oklahoma (Big 12),15,13,0.536
LSU (SEC),16,14,0.533
McNeese (Southland),18,16,0.529
LIU (NEC),14,13,0.519
Northeastern (CAA),14,13,0.519
Boise St. (Mountain West),15,14,0.517
Kansas St. (Big 12),15,14,0.517
Middle Tenn. (C-USA),15,14,0.517
Stetson (ASUN),15,14,0.517
Arizona (Pac-12),16,15,0.516
Butler (Big East),16,15,0.516
North Texas (C-USA),16,15,0.516
Chattanooga (SoCon),17,16,0.515
FDU (NEC),17,16,0.515
Southeast Mo. St. (OVC),17,16,0.515
Eastern Ill. (OVC),16,16,0.5
Indiana (Big Ten),16,16,0.5
Maryland (Big Ten),16,16,0.5
Air Force (Mountain West),15,15,0.5
American (Patriot),15,15,0.5
Eastern Ky. (ASUN),15,15,0.5
Illinois (Big Ten),15,15,0.5
Sacramento St. (Big Sky),15,15,0.5
Seton Hall (Big East),15,15,0.5
UC Davis (Big West),15,15,0.5
Fla. Atlantic (C-USA),13,13,0.5
Charleston So. (Big South),15,16,0.484
New Orleans (Southland),15,16,0.484
Utah (Pac-12),15,16,0.484
Nevada (Mountain West),14,15,0.483
Quinnipiac (MAAC),14,15,0.483
San Francisco (WCC),14,15,0.483
Elon (CAA),13,14,0.481
Col. of Charleston (CAA),14,16,0.467
Montana St. (Big Sky),14,16,0.467
Morehead St. (OVC),14,16,0.467
Youngstown St. (Horizon),14,16,0.467
Cal St. Fullerton (Big West),13,15,0.464
Canisius (MAAC),13,15,0.464
Lehigh (Patriot),13,15,0.464
North Ala. (ASUN),13,15,0.464
South Carolina (SEC),13,15,0.464
California Baptist (WAC),12,14,0.462
Central Conn. St. (NEC),12,14,0.462
William & Mary (CAA),12,14,0.462
Evansville (MVC),16,19,0.457
Cleveland St. (Horizon),14,17,0.452
St. Francis Brooklyn (NEC),14,17,0.452
VCU (Atlantic 10),14,17,0.452
Fordham (Atlantic 10),13,16,0.448
Kent St. (MAC),13,16,0.448
Texas A&M (SEC),13,16,0.448
Austin Peay (ASUN),12,15,0.444
UAB (C-USA),12,15,0.444
Loyola Maryland (Patriot),11,14,0.44
Idaho St. (Big Sky),13,17,0.433
Jackson St. (SWAC),13,17,0.433
SIUE (OVC),13,17,0.433
Siena (MAAC),13,17,0.433
Old Dominion (Sun Belt),12,16,0.429
Radford (Big South),12,16,0.429
Saint Francis (PA) (NEC),12,16,0.429
Clemson (ACC),13,18,0.419
Michigan St. (Big Ten),13,18,0.419
Tulsa (AAC),13,18,0.419
Illinois St. (MVC),12,17,0.414
Murray St. (MVC),12,17,0.414
North Florida (ASUN),12,17,0.414
Virginia (ACC),12,17,0.414
Charlotte (C-USA),11,16,0.407
Arizona St. (Pac-12),13,19,0.406
Santa Clara (WCC),13,19,0.406
North Dakota (Summit League),12,18,0.4
Providence (Big East),12,18,0.4
A&M-Corpus Christi (Southland),13,20,0.394
Jacksonville (ASUN),11,17,0.393
Ole Miss (SEC),11,17,0.393
Syracuse (ACC),11,17,0.393
Stony Brook (CAA),10,16,0.385
Eastern Wash. (Big Sky),11,18,0.379
Louisiana Tech (C-USA),11,18,0.379
Virginia Tech (ACC),11,18,0.379
East Carolina (AAC),12,20,0.375
Cincinnati (AAC),11,19,0.367
Furman (SoCon),11,19,0.367
Oakland (Horizon),11,19,0.367
The Citadel (SoCon),11,19,0.367
Notre Dame (ACC),10,18,0.357
Rider (MAAC),11,20,0.355
San Diego St. (Mountain West),11,20,0.355
Chicago St. (DI Independent),8,15,0.348
Lafayette (Patriot),8,15,0.348
N.C. A&T (CAA),9,17,0.346
Saint Mary's (CA) (WCC),9,17,0.346
Mercer (SoCon),10,19,0.345
Portland (WCC),10,19,0.345
Alabama (SEC),10,20,0.333
DePaul (Big East),10,20,0.333
Marshall (Sun Belt),10,20,0.333
Milwaukee (Horizon),10,20,0.333
Niagara (MAAC),10,20,0.333
South Fla. (AAC),10,20,0.333
UNC Greensboro (SoCon),10,20,0.333
Villanova (Big East),10,20,0.333
Wyoming (Mountain West),10,20,0.333
UMES (MEAC),9,18,0.333
Bradley (MVC),10,21,0.323
Iowa (Big Ten),10,21,0.323
Kansas City (Summit League),10,21,0.323
Temple (AAC),10,21,0.323
Gardner-Webb (Big South),9,19,0.321
Missouri (SEC),9,19,0.321
Presbyterian (Big South),9,19,0.321
Texas Southern (SWAC),9,19,0.321
Lamar University (Southland),9,20,0.31
Purdue Fort Wayne (Horizon),9,20,0.31
UTSA (C-USA),8,18,0.308
Bethune-Cookman (SWAC),9,21,0.3
IUPUI (Horizon),9,21,0.3
Missouri St. (MVC),9,21,0.3
Oral Roberts (Summit League),9,21,0.3
Robert Morris (Horizon),9,21,0.3
Southern Utah (WAC),7,17,0.292
Ark.-Pine Bluff (SWAC),9,22,0.29
Arkansas St. (Sun Belt),9,22,0.29
Tulane (AAC),9,22,0.29
Sam Houston (WAC),8,20,0.286
CSUN (Big West),9,23,0.281
Norfolk St. (MEAC),7,18,0.28
FIU (C-USA),8,21,0.276
NJIT (America East),8,21,0.276
Abilene Christian (WAC),7,19,0.269
N.C. Central (MEAC),7,19,0.269
Duquesne (Atlantic 10),8,22,0.267
Columbia (Ivy League),6,17,0.261
Cornell (Ivy League),6,17,0.261
UAlbany (America East),7,20,0.259
Belmont (MVC),8,23,0.258
Prairie View (SWAC),8,24,0.25
Rutgers (Big Ten),8,24,0.25
George Mason (Atlantic 10),7,22,0.241
Georgia St. (Sun Belt),7,22,0.241
Miami (OH) (MAC),7,22,0.241
West Virginia (Big 12),7,22,0.241
UNCW (CAA),6,19,0.24
California (Pac-12),7,23,0.233
Fresno St. (Mountain West),7,23,0.233
Nicholls (Southland),7,23,0.233
Oregon St. (Pac-12),7,23,0.233
Harvard (Ivy League),5,17,0.227
Little Rock (OVC),7,24,0.226
CSU Bakersfield (Big West),7,25,0.219
ULM (Sun Belt),7,25,0.219
Northern Ariz. (Big Sky),5,18,0.217
Alabama A&M (SWAC),7,26,0.212
Akron (MAC),6,23,0.207
Gonzaga (WCC),6,23,0.207
UIW (Southland),6,23,0.207
USC Upstate (Big South),6,23,0.207
Rhode Island (Atlantic 10),6,25,0.194
Seattle U (WAC),4,18,0.182
Alcorn (SWAC),5,24,0.172
Eastern Mich. (MAC),5,25,0.167
Hampton (CAA),3,16,0.158
UNC Asheville (Big South),4,22,0.154
Idaho (Big Sky),4,24,0.143
Georgetown (Big East),4,25,0.138
UC Riverside (Big West),4,25,0.138
Western Ill. (Summit League),4,26,0.133
Indiana St. (MVC),3,23,0.115
Holy Cross (Patriot),3,24,0.111
Southern U. (SWAC),3,25,0.107
Morgan St. (MEAC),3,26,0.103
Penn (Ivy League),2,22,0.083
Hartford (),2,24,0.077
Mississippi Val. (SWAC),1,24,0.04
Manhattan (MAAC),1,28,0.034
Saint Peter's (MAAC),1,31,0.031
South Carolina St. (MEAC),0,26,0